wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
2,4,2,0,2,2,0,0.0,False,False,0.0530370615440321,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,16,79,15,3,435,1,107.5,False,False,0.253231105702923,False,0.4,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
4,15,10,0,2,68,3,15.0,False,False,0.17906170454455006,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
8,27,8,14,8,8,0,0.0,True,False,0.35970450108656843,False,0.4,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
5,5,56,4,5,334,0,65.0,False,False,0.4992251825057587,False,0.3,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
14,20,105,0,7,623,0,43.35714286,False,False,0.4037340159599576,False,0.2,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
6,3,14,2,6,63,1,9.166666667000001,False,False,0.07187577313111357,False,0.3,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
10,9,38,0,8,197,0,18.3,False,False,0.15416785662884566,False,0.1,False,0.2,AdaBoost,AdaBoost,False,0.2
1,3,2,2,1,8,0,6.0,False,False,0.04563655942771119,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,2,6,1,4,35,2,7.25,False,False,0.08190309456058555,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
20,106,45,5,17,124,1,4.85,False,True,0.6334774016703165,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
19,8,19,0,19,19,0,0.0,False,False,0.04398694280928491,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
2,9,2,3,2,4,0,0.0,False,False,0.04641817093437666,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
8,9,61,7,6,544,0,66.875,True,False,0.1617286133687466,False,0.4,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
13,25,69,24,12,420,0,31.30769231,False,True,0.6155092861393969,False,0.1,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
3,5,5,3,1,18,1,4.666666667,False,False,0.07811795391399537,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
2,1,4,1,2,10,0,4.0,False,False,0.049143187593355286,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,7,17,2,2,58,1,13.0,False,False,0.1225443310512865,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
9,3,11,1,9,60,0,5.1111111110000005,False,False,0.04308542571140319,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
3,11,3,3,3,3,0,0.0,False,False,0.04782390693934852,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,8,5,0,5,5,0,0.0,False,False,0.05502483063649248,False,0.2,False,0.2,AdaBoost,AdaBoost,False,0.2
3,4,5,1,3,18,0,5.0,False,False,0.05095173221901552,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,3,3,1,3,3,0,0.0,False,False,0.04711370563512105,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
28,11,72,10,18,719,0,23.57142857,True,False,0.2660697383619243,True,0.6,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
14,10,34,0,13,207,0,13.21428571,False,False,0.1032139517358326,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,9,20,6,5,89,1,16.4,False,False,0.07855497010253537,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,6,4,0,4,4,0,0.0,True,False,0.053579518606874536,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,4,2,3,1,11,0,8.0,False,False,0.0756534973140514,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
9,5,29,3,6,157,0,16.22222222,False,False,0.12874216984445658,False,0.1,False,0.2466060555964672,AdaBoost,AdaBoost,False,0.2466060555964672
1,8,1,2,1,1,0,0.0,False,False,0.08341622398857475,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
12,10,64,10,7,444,1,35.75,True,True,0.562809943789759,False,0.3,True,0.60435607626104,AdaBoost,AdaBoost,True,0.60435607626104
4,6,38,4,2,242,0,59.25,False,False,0.1196823066162821,False,0.1,False,9.755099778201686e-09,AdaBoost,AdaBoost,False,9.755099778201686e-09
2,34,2,1,2,7,0,0.0,False,False,0.11424146076547358,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
17,6,39,4,17,165,1,8.588235294,False,False,0.11048666448725387,False,0.2,False,7.450580541412699e-09,AdaBoost,AdaBoost,False,7.450580541412699e-09
3,5,3,2,3,3,0,0.0,False,False,0.078919541395773,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
16,8,27,0,16,175,0,9.5,True,False,0.4219486838351958,False,0.0,False,0.3483314773547883,AdaBoost,AdaBoost,False,0.3483314773547883
19,6,64,6,18,636,1,32.15789474,False,True,0.5394454981284313,True,1.0,False,0.5,AdaBoost,AdaBoost,False,0.5
6,6,13,3,6,55,1,7.833333333,False,False,0.0886385857949251,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
6,8,23,0,6,143,0,22.5,False,False,0.09662220746291834,False,0.2,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,7,10,5,1,27,1,5.5,False,False,0.11782601731796465,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
2,4,4,3,2,30,0,11.5,False,False,0.07457407004240725,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
30,37,68,9,27,513,3,15.86666667,False,True,0.5233030236891589,False,0.2,False,0.33738635424337604,AdaBoost,AdaBoost,False,0.33738635424337604
10,20,61,16,9,192,0,18.2,False,True,0.5420083673842042,False,0.3,False,0.33333333333333337,AdaBoost,AdaBoost,False,0.33333333333333337
8,6,41,0,5,204,0,24.375,False,False,0.15527749234328211,False,0.5,False,0.3483314773547883,AdaBoost,AdaBoost,False,0.3483314773547883
2,6,13,6,2,46,0,22.0,False,False,0.0836055491077834,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
4,2,6,1,3,23,1,4.5,False,False,0.08841516547064356,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
2,24,2,0,2,2,0,0.0,False,False,0.10183300712168207,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
10,9,44,0,9,176,0,16.2,False,False,0.14517515145912535,False,0.1,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14285714285714285
1,3,2,1,1,5,0,4.0,False,False,0.07791054431652013,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
7,3,12,1,7,77,4,9.285714286000001,False,False,0.11108113126902376,False,0.1,False,0.2,AdaBoost,AdaBoost,False,0.2
6,6,40,4,5,227,0,36.66666667,False,False,0.12579249276265375,False,0.4,False,0.4330302779823361,AdaBoost,AdaBoost,False,0.4330302779823361
1,5,1,1,1,1,0,0.0,False,False,0.0807586330472535,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,6,14,3,4,74,0,17.0,False,False,0.08514033701941116,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,7,18,6,3,87,2,27.0,False,False,0.09776351167101728,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
30,26,132,25,13,1096,0,35.43333333,False,True,0.9891648798644398,True,0.6,True,0.6666666666666666,AdaBoost,AdaBoost,True,0.6666666666666666
3,7,12,6,3,64,1,19.33333333,False,False,0.0866163038424903,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
6,11,13,2,6,44,1,6.0,False,False,0.095939263990996,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,6,1,2,1,1,0,0.0,False,False,0.08133157874648643,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
13,8,32,0,13,134,0,9.076923077,False,False,0.43831353960077,False,0.4,False,0.5,AdaBoost,AdaBoost,False,0.5
13,13,14,2,12,24,1,0.615384615,False,False,0.09485297202999488,False,0.0,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14285714285714285
3,10,3,3,3,3,0,0.0,False,False,0.08364027634188048,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
1,14,2,1,1,4,0,3.0,False,False,0.09017748540002864,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
2,6,2,2,2,2,0,0.0,False,False,0.07529207440188483,False,0.0,False,0.04320222868690162,AdaBoost,AdaBoost,False,0.04320222868690162
48,16,109,15,39,719,5,13.77083333,True,True,0.5397611689515563,False,0.5,True,0.5036718660827743,AdaBoost,AdaBoost,True,0.5036718660827743
2,16,2,2,2,2,0,0.0,False,False,0.08343263624051793,False,0.0,False,0.014973078381810848,AdaBoost,AdaBoost,False,0.014973078381810848
7,7,27,0,7,147,0,19.57142857,False,False,0.10069523230392384,False,0.1,False,0.042560690927958236,AdaBoost,AdaBoost,False,0.042560690927958236
13,22,30,8,11,267,0,19.30769231,False,False,0.1331813390024322,False,0.1,False,0.18370692597656213,AdaBoost,AdaBoost,False,0.18370692597656213
4,7,17,5,1,60,0,13.75,False,False,0.1141709829068429,False,0.0,False,0.025503711511010583,AdaBoost,AdaBoost,False,0.025503711511010583
10,11,39,0,7,1308,0,129.7,False,False,0.40795957021464463,False,0.2,False,0.4991505053324593,AdaBoost,AdaBoost,False,0.4991505053324593
7,3,8,0,6,51,0,5.857142857,False,False,0.0777814065596459,False,0.0,False,0.03319518154785387,AdaBoost,AdaBoost,False,0.03319518154785387
12,8,24,0,12,124,0,8.916666667000001,True,False,0.08908300596756953,False,0.2,False,0.16661343191011235,AdaBoost,AdaBoost,False,0.16661343191011235
2,5,2,2,2,2,0,0.0,False,False,0.07451290360787799,False,0.0,False,0.0386552429241444,AdaBoost,AdaBoost,False,0.0386552429241444
2,6,4,3,2,8,0,3.0,False,False,0.07653018714623408,False,0.0,False,0.10354098469123536,AdaBoost,AdaBoost,False,0.10354098469123536
5,4,21,4,4,144,0,27.2,False,False,0.09600553534548653,False,0.0,False,0.05987553482282669,AdaBoost,AdaBoost,False,0.05987553482282669
4,4,7,3,4,31,2,6.25,False,False,0.0563266777016517,False,0.1,False,0.012138740352570744,AdaBoost,AdaBoost,False,0.012138740352570744
4,22,12,0,3,72,0,17.0,False,False,0.1030011533765796,False,0.0,False,0.021948459817997257,AdaBoost,AdaBoost,False,0.021948459817997257
1,7,1,2,1,1,0,0.0,False,False,0.0769047844946791,False,0.0,False,0.043190000273246966,AdaBoost,AdaBoost,False,0.043190000273246966
2,5,7,4,2,18,0,8.0,False,False,0.07752675961973153,False,0.0,False,0.02414422458873841,AdaBoost,AdaBoost,False,0.02414422458873841
3,3,6,2,3,15,0,4.0,False,False,0.07478372720520125,False,0.0,False,0.034969755282210725,AdaBoost,AdaBoost,False,0.034969755282210725
29,21,97,0,20,677,1,22.0,False,True,0.8511696169133472,True,0.8,True,0.6478250526795313,AdaBoost,AdaBoost,True,0.6478250526795313
5,7,23,2,5,105,1,19.4,False,False,0.08423750903381659,False,0.0,False,0.03305291750593742,AdaBoost,AdaBoost,False,0.03305291750593742
33,33,45,7,32,350,1,9.121212121000001,False,False,0.2417967900870134,False,0.1,False,0.26287124776442417,AdaBoost,AdaBoost,False,0.26287124776442417
3,4,23,3,0,95,1,30.33333333,False,False,0.10357351018316148,False,0.0,False,0.010795466997319649,AdaBoost,AdaBoost,False,0.010795466997319649
3,6,11,3,2,33,1,9.666666667000001,False,False,0.07876353655774987,False,0.0,False,0.00477707006301822,AdaBoost,AdaBoost,False,0.00477707006301822
1,5,2,4,1,9,0,7.0,False,False,0.07303242350189967,False,0.0,False,0.06559851170753822,AdaBoost,AdaBoost,False,0.06559851170753822
6,5,22,3,4,84,2,12.5,True,False,0.08563387483168677,False,0.0,False,0.01590595099419536,AdaBoost,AdaBoost,False,0.01590595099419536
8,16,8,6,8,8,0,0.0,False,False,0.41085822350824186,True,0.8,False,0.3679282063365072,AdaBoost,AdaBoost,False,0.3679282063365072
15,19,66,18,6,451,3,28.26666667,False,False,0.3861196722975772,True,0.8,False,0.4693624775948618,AdaBoost,AdaBoost,False,0.4693624775948618
5,5,9,2,5,34,0,5.6,False,False,0.07637692193116033,False,0.3,False,0.2054851186983964,AdaBoost,AdaBoost,False,0.2054851186983964
17,15,78,0,15,413,0,22.82352941,False,True,0.5621589664730922,False,0.5,False,0.42213472468389257,AdaBoost,AdaBoost,False,0.42213472468389257
4,2,6,1,4,35,2,7.25,False,False,0.05419782150843063,False,0.0,False,0.07510987069488237,AdaBoost,AdaBoost,False,0.07510987069488237
6,6,19,0,6,94,0,14.0,False,False,0.08911927242913566,False,0.0,False,0.007256916529380613,AdaBoost,AdaBoost,False,0.007256916529380613
2,4,14,3,2,54,1,25.0,False,False,0.06959775571623046,False,0.0,False,0.010942119295658626,AdaBoost,AdaBoost,False,0.010942119295658626
2,5,4,3,1,8,0,3.0,False,False,0.0831983162711654,False,0.0,False,0.03425353372630936,AdaBoost,AdaBoost,False,0.03425353372630936
7,2,20,1,7,67,0,8.571428571,False,False,0.08557890887073133,False,0.0,False,0.1312312332015914,AdaBoost,AdaBoost,False,0.1312312332015914
2,3,6,2,2,26,0,11.5,False,False,0.07373340115360506,False,0.0,False,0.11190083545019718,AdaBoost,AdaBoost,False,0.11190083545019718
1,6,1,2,1,1,0,0.0,False,False,0.07611347438667786,False,0.0,False,0.04332984714098622,AdaBoost,AdaBoost,False,0.04332984714098622
8,11,32,0,7,149,0,17.25,False,False,0.1442267347665298,False,0.0,False,0.05221857871874688,AdaBoost,AdaBoost,False,0.05221857871874688
2,5,4,2,2,14,1,5.5,False,False,0.08186583281459882,False,0.0,False,0.05704103652430575,AdaBoost,AdaBoost,False,0.05704103652430575
5,17,6,2,5,25,0,3.6,False,False,0.09785782328844804,False,0.0,False,0.3572953457345565,AdaBoost,AdaBoost,False,0.3572953457345565
3,6,5,3,1,18,1,4.666666667,False,False,0.09933076988824807,False,0.0,False,0.02797780983736557,AdaBoost,AdaBoost,False,0.02797780983736557
5,13,31,11,4,140,1,26.6,False,False,0.14735264897126274,False,0.3,False,0.07728306564043938,AdaBoost,AdaBoost,False,0.07728306564043938
15,17,69,0,7,583,0,37.8,False,True,0.6946273672798465,False,0.3,False,0.4670109557275367,AdaBoost,AdaBoost,False,0.4670109557275367
9,22,117,21,3,1209,0,133.2222222,False,True,0.6201582444503582,False,0.1,False,0.35012994787477913,AdaBoost,AdaBoost,False,0.35012994787477913
77,50,243,49,49,2480,4,30.8961039,True,True,0.9994493979379552,True,0.8,True,0.7975534648104969,AdaBoost,AdaBoost,True,0.7975534648104969
13,29,148,0,1,1407,0,107.0,True,True,0.6583990993213377,False,0.0,False,0.2571195329202364,Voting,Voting,True,0.6583990993213377
11,12,52,0,5,360,1,31.36363636,True,False,0.2426270840976525,False,0.5,False,0.4844485801826057,AdaBoost,AdaBoost,False,0.4844485801826057
1,9,1,1,1,1,0,0.0,False,False,0.08728802153882692,False,0.0,False,0.014288958192826747,AdaBoost,AdaBoost,False,0.014288958192826747
99,65,293,42,73,2894,9,28.05050505,True,True,0.9996584222751368,True,0.7,True,0.7307913892219372,AdaBoost,AdaBoost,True,0.7307913892219372
2,19,2,0,2,2,0,0.0,False,False,0.10005695756730687,False,0.0,False,0.024441177653855502,AdaBoost,AdaBoost,False,0.024441177653855502
6,2,19,0,4,86,0,13.0,False,False,0.11787165597159313,False,0.2,False,0.2313337757484105,AdaBoost,AdaBoost,False,0.2313337757484105
10,5,21,1,9,84,1,7.3,False,False,0.10826013638083314,False,0.0,False,0.17344794623524626,AdaBoost,AdaBoost,False,0.17344794623524626
13,11,50,0,10,267,0,19.15384615,False,False,0.2029985025707937,False,0.0,False,0.25207277596095273,AdaBoost,AdaBoost,False,0.25207277596095273
3,20,3,2,3,3,0,0.0,False,False,0.10052924248191482,False,0.0,False,0.0985658851269628,AdaBoost,AdaBoost,False,0.0985658851269628
2,8,3,3,2,14,1,5.5,False,False,0.08315801955747196,False,0.0,False,0.008964133849993634,AdaBoost,AdaBoost,False,0.008964133849993634
19,10,62,0,17,309,0,14.57894737,False,False,0.2344608422581824,False,0.3,False,0.3685039863814536,AdaBoost,AdaBoost,False,0.3685039863814536
3,5,10,3,2,39,2,11.33333333,False,False,0.0956940899146473,False,0.0,False,0.13885968136806062,AdaBoost,AdaBoost,False,0.13885968136806062
29,39,116,38,22,1109,5,36.86206897,True,True,0.9499859823897826,True,0.9,True,0.8237620301380255,AdaBoost,AdaBoost,True,0.8237620301380255
14,12,41,7,11,230,0,15.35714286,False,False,0.18127672622047689,False,0.2,False,0.25922991825800706,AdaBoost,AdaBoost,False,0.25922991825800706
3,6,14,4,2,70,2,21.66666667,False,False,0.10225975133615718,False,0.0,False,0.057520241380507035,AdaBoost,AdaBoost,False,0.057520241380507035
14,10,23,5,14,164,1,10.14285714,False,False,0.1055930413728733,False,0.4,False,0.3834263296728361,AdaBoost,AdaBoost,False,0.3834263296728361
4,7,5,0,4,32,0,6.0,False,False,0.0858606942370057,False,0.2,False,0.3750186319518583,AdaBoost,AdaBoost,False,0.3750186319518583
4,2,8,0,4,21,0,4.0,False,False,0.08587204066388791,False,0.1,False,0.1620606330128798,AdaBoost,AdaBoost,False,0.1620606330128798
3,3,5,2,3,12,0,3.0,False,False,0.08290948962772576,False,0.0,False,0.07564409376203411,AdaBoost,AdaBoost,False,0.07564409376203411
3,5,3,1,3,3,0,0.0,False,False,0.08297939837342926,False,0.0,False,0.11292326657006375,AdaBoost,AdaBoost,False,0.11292326657006375
2,4,4,2,2,10,0,4.0,False,False,0.0836982114041062,False,0.0,False,0.07196624062386381,AdaBoost,AdaBoost,False,0.07196624062386381
3,11,22,11,3,101,0,32.66666667,False,False,0.11681216011621752,False,0.2,False,0.06451384245215161,AdaBoost,AdaBoost,False,0.06451384245215161
3,11,38,10,3,215,0,70.33333333,False,False,0.14394820695811955,False,0.3,False,0.2792228747300952,AdaBoost,AdaBoost,False,0.2792228747300952
4,2,8,2,4,24,1,4.75,False,False,0.08225768303095565,False,0.0,False,0.07741819104264287,AdaBoost,AdaBoost,False,0.07741819104264287
33,54,277,48,20,2591,4,77.36363636,True,True,0.9994637645938296,True,1.0,True,0.938823756354774,AdaBoost,AdaBoost,True,0.938823756354774
2,3,5,2,1,15,0,6.0,False,False,0.09188499035991622,False,0.0,False,0.12706255398675878,AdaBoost,AdaBoost,False,0.12706255398675878
1,5,1,1,1,1,0,0.0,False,False,0.08279799376093246,False,0.0,False,0.0932161263454784,AdaBoost,AdaBoost,False,0.0932161263454784
22,20,143,20,5,1648,2,73.36363636,True,True,0.9970945302911948,True,0.6,True,0.5634187679941466,AdaBoost,AdaBoost,True,0.5634187679941466
5,3,15,2,4,50,0,9.0,False,False,0.09501426639545367,False,0.1,False,0.11760485252786695,AdaBoost,AdaBoost,False,0.11760485252786695
3,9,3,5,3,3,0,0.0,False,False,0.07493681438298626,False,0.0,False,0.0767627073995297,AdaBoost,AdaBoost,False,0.0767627073995297
4,10,10,8,4,27,0,5.75,False,False,0.08119955095716265,False,0.0,False,0.2093812582288599,AdaBoost,AdaBoost,False,0.2093812582288599
13,19,77,15,12,1090,1,82.76923077,False,True,0.5161675653578208,True,0.6,True,0.5221386874153349,AdaBoost,AdaBoost,True,0.5221386874153349
5,16,65,16,4,598,0,118.6,False,False,0.2546779394091961,False,0.2,False,0.1879976687933094,AdaBoost,AdaBoost,False,0.1879976687933094
10,6,30,4,0,290,1,27.5,False,False,0.20000622127627213,False,0.5,False,0.39930558869494,AdaBoost,AdaBoost,False,0.39930558869494
12,3,21,0,11,222,1,17.0,False,False,0.07735352361992805,False,0.2,False,0.16030466430564133,AdaBoost,AdaBoost,False,0.16030466430564133
11,11,44,3,8,279,0,23.63636364,True,False,0.17516667582225595,False,0.2,False,0.44218525754910737,AdaBoost,AdaBoost,False,0.44218525754910737
13,4,35,0,12,194,0,13.53846154,False,False,0.11895717815320532,False,0.0,False,0.09566816796818836,AdaBoost,AdaBoost,False,0.09566816796818836
4,24,104,22,3,763,2,189.25,False,False,0.4924142032949914,False,0.2,False,0.3406124663992683,AdaBoost,AdaBoost,False,0.3406124663992683
2,2,8,0,1,49,0,23.5,False,False,0.07666398655301969,False,0.0,False,0.08365905761227542,AdaBoost,AdaBoost,False,0.08365905761227542
11,7,20,0,10,132,0,10.63636364,False,False,0.09097488452966804,False,0.5,False,0.3841324012136634,AdaBoost,AdaBoost,False,0.3841324012136634
10,2,16,0,9,88,1,7.2,False,False,0.07687533279214083,False,0.0,False,0.029390155201103645,AdaBoost,AdaBoost,False,0.029390155201103645
37,16,108,0,29,1130,0,29.16216216,False,True,0.9632681455323168,True,1.0,True,0.540763933687842,AdaBoost,AdaBoost,True,0.540763933687842
9,7,28,5,8,124,2,12.44444444,False,False,0.10074981477638743,False,0.3,False,0.2685093101292609,AdaBoost,AdaBoost,False,0.2685093101292609
21,30,108,0,7,766,1,35.04761905,False,True,0.6267573916115232,True,0.6,False,0.3571109094615316,AdaBoost,AdaBoost,False,0.3571109094615316
74,84,163,46,70,1119,12,13.86486486,False,True,0.5673076878555885,False,0.4,False,0.3473301750681969,AdaBoost,AdaBoost,False,0.3473301750681969
7,12,24,0,6,122,0,15.85714286,False,False,0.11722376288130627,False,0.3,False,0.17355237524169598,AdaBoost,AdaBoost,False,0.17355237524169598
19,32,29,3,19,186,3,8.368421052999999,True,False,0.14415280194102076,False,0.0,False,0.1163243677897148,AdaBoost,AdaBoost,False,0.1163243677897148
2,12,2,1,2,2,0,0.0,False,False,0.08190160579159672,False,0.0,False,0.02042938347305466,AdaBoost,AdaBoost,False,0.02042938347305466
29,24,91,16,27,699,3,22.75862069,False,True,0.8793940692086717,True,0.8,True,0.6565198136653587,AdaBoost,AdaBoost,True,0.6565198136653587
65,41,131,37,39,810,5,11.26153846,True,True,0.6560985199272421,True,0.6,False,0.38555350618528417,AdaBoost,AdaBoost,False,0.38555350618528417
6,5,15,4,6,53,0,7.833333333,False,False,0.08324573379988304,False,0.2,False,0.22118763958139825,AdaBoost,AdaBoost,False,0.22118763958139825
4,5,9,1,4,34,1,7.0,False,False,0.07380052161713913,False,0.0,False,0.07885151404059787,AdaBoost,AdaBoost,False,0.07885151404059787
3,10,5,3,1,18,1,4.666666667,False,False,0.0902049456112048,False,0.0,False,0.03041695419337348,AdaBoost,AdaBoost,False,0.03041695419337348
21,4,54,0,19,233,1,9.80952381,False,False,0.15336797262261545,False,0.0,False,0.1541400688055491,AdaBoost,AdaBoost,False,0.1541400688055491
1,10,1,2,1,1,0,0.0,False,False,0.08055127714136069,False,0.0,False,0.025931253801512,AdaBoost,AdaBoost,False,0.025931253801512
55,31,123,15,41,1167,6,19.94545455,True,True,0.9625685093038984,True,1.0,True,0.6468267922641437,AdaBoost,AdaBoost,True,0.6468267922641437
7,9,8,4,7,30,1,3.0,False,False,0.0663198682407491,False,0.2,False,0.2529975171985094,AdaBoost,AdaBoost,False,0.2529975171985094
3,15,3,1,3,3,0,0.0,False,False,0.08332488633088646,False,0.0,False,0.022156446977101427,AdaBoost,AdaBoost,False,0.022156446977101427
8,18,17,1,8,141,1,16.125,False,False,0.0841920421715437,False,0.1,False,0.12010726350650501,AdaBoost,AdaBoost,False,0.12010726350650501
10,15,10,3,10,10,0,0.0,False,False,0.07348828204195818,True,0.6,False,0.40621903193010384,AdaBoost,AdaBoost,False,0.40621903193010384
45,13,113,0,45,636,0,12.66666667,False,True,0.5520510696864621,False,0.3,False,0.2580489235521426,AdaBoost,AdaBoost,False,0.2580489235521426
7,10,44,7,4,348,0,48.42857143,True,False,0.16195145221566604,True,0.6,True,0.6563746888922531,AdaBoost,AdaBoost,True,0.6563746888922531
