wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
15,15,42,6,9,326,1,1,20.33333333,7,False,True,0.6681214896642894,False,0.5,False,0.4624094422437209,Voting
16,13,60,4,9,483,0,0,28.6875,8,True,False,0.4845884858282475,True,0.7,False,0.4718669404526366,RandomForest
5,7,26,5,3,288,0,0,56.2,9,False,False,0.14421291312382295,False,0.1,False,0.4961272683304616,Voting
2,14,6,11,3,106,0,0,7.0,0,True,False,0.12705999479596145,False,0.2,False,0.4551033995799288,Voting
4,78,4,78,1,4,0,0,0.0,1,False,True,0.9896826563658098,True,0.7,True,0.613939011246947,Voting
6,14,22,5,9,146,0,0,23.33333333,4,False,False,0.1065484256229959,False,0.2,False,0.15678733970132655,Voting
11,5,59,1,4,1312,0,0,114.54545449999999,10,True,True,0.957245464723545,False,0.4,True,0.6468643172230157,Voting
4,9,36,0,9,371,0,0,89.25,23,True,False,0.1936962813449972,False,0.0,False,0.3617110085911696,Voting
1,0,2,0,0,7,0,0,3.0,0,False,False,0.06740741630884832,False,0.0,False,0.04572356764466001,Voting
3,7,16,2,5,70,0,2,22.33333333,8,True,False,0.4920305531435139,True,1.0,True,0.8979381811677897,Voting
7,9,22,0,9,114,1,0,14.57142857,5,False,False,0.4616143107420861,False,0.2,False,0.3879382540282496,Voting
3,10,21,0,10,107,0,0,34.66666667,11,False,False,0.09262138696699612,False,0.0,False,0.3091859103416993,Voting
15,23,75,10,13,940,0,0,61.6,12,True,True,0.981998005349324,True,0.8,True,0.8978484495537006,Voting
4,4,10,1,4,43,1,1,9.5,2,False,False,0.4748419608284217,False,0.2,False,0.2051580917791468,Voting
6,3,15,1,2,60,1,0,8.666666667000001,1,False,False,0.12416256095991175,False,0.1,False,0.1268168486215492,Voting
