wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,14,2,1,1,4,0,3.0,False,False,0.024014758504311676,False,0.0,False,0.005390602067532646,AdaBoost
2,6,2,2,2,2,0,0.0,False,False,0.020516674764541755,False,0.0,False,0.09473985748774492,AdaBoost
48,16,109,15,39,719,5,13.77083333,True,False,0.3953935817066419,False,0.4,False,0.481180734409616,AdaBoost
2,16,2,2,2,2,0,0.0,False,False,0.023575381405666288,False,0.0,False,0.009584657903278159,AdaBoost
7,7,27,0,7,147,0,19.57142857,False,False,0.02596567568822719,False,0.0,False,0.11223774492614004,AdaBoost
13,22,30,8,11,267,0,19.30769231,False,False,0.02750473323329945,False,0.0,False,0.24890735449666526,AdaBoost
4,7,17,5,1,60,0,13.75,False,False,0.026113146751957552,False,0.0,False,0.005754466261565917,AdaBoost
10,11,39,0,7,1308,0,129.7,False,True,0.5718890321927408,False,0.4,False,0.3979198691394671,AdaBoost
7,3,8,0,6,51,0,5.857142857,False,False,0.017494991960173175,False,0.0,False,0.06852140631944573,AdaBoost
12,8,24,0,12,124,0,8.916666667000001,True,False,0.3538416077583545,False,0.0,False,0.2670590505399554,AdaBoost
2,5,2,2,2,2,0,0.0,False,False,0.020232605300962183,False,0.0,False,0.015786490672295428,AdaBoost
2,6,4,3,2,8,0,3.0,False,False,0.02056502073046024,False,0.0,False,0.08279067797774795,AdaBoost
5,4,21,4,4,144,0,27.2,False,False,0.02162827363097464,False,0.0,False,0.027096473473382468,AdaBoost
4,4,7,3,4,31,2,6.25,False,False,0.020965221186292838,False,0.0,False,0.047124952323392914,AdaBoost
4,22,12,0,3,72,0,17.0,False,False,0.02636812121142901,False,0.0,False,0.06924415409527565,AdaBoost
1,7,1,2,1,1,0,0.0,False,False,0.0215401336255943,False,0.0,False,0.015483221270392929,AdaBoost
2,5,7,4,2,18,0,8.0,False,False,0.020341824086642316,False,0.0,False,0.00909984334983792,AdaBoost
3,3,6,2,3,15,0,4.0,False,False,0.019601366590385787,False,0.0,False,0.023717875032983917,AdaBoost
29,21,97,0,20,677,1,22.0,False,False,0.4864811445853354,False,0.4,True,0.6478851980668678,AdaBoost
5,7,23,2,5,105,1,19.4,False,False,0.026294908079810102,False,0.0,False,0.09940977841623803,AdaBoost
33,33,45,7,32,350,1,9.121212121000001,False,False,0.03689140559484539,False,0.2,False,0.13624089208617218,AdaBoost
3,4,23,3,0,95,1,30.33333333,False,False,0.027385806466525445,False,0.0,False,0.040376605161220484,AdaBoost
3,6,11,3,2,33,1,9.666666667000001,False,False,0.02390695845671972,False,0.0,False,0.014369229490187325,AdaBoost
1,5,2,4,1,9,0,7.0,False,False,0.019131701741192005,False,0.0,False,0.010958044965632784,AdaBoost
6,5,22,3,4,84,2,12.5,True,False,0.02913998404657682,False,0.0,False,0.032102747409868085,AdaBoost
8,16,8,6,8,8,0,0.0,False,False,0.018302579846467448,False,0.1,False,0.2733090221129502,AdaBoost
15,19,66,18,6,451,3,28.26666667,False,False,0.1058682970841384,False,0.1,False,0.4941611924895837,AdaBoost
5,5,9,2,5,34,0,5.6,False,False,0.019185553848198263,False,0.0,False,0.1991269600706481,AdaBoost
17,15,78,0,15,413,0,22.82352941,False,False,0.4076893570673237,False,0.2,False,0.4771521506774962,AdaBoost
4,2,6,1,4,35,2,7.25,False,False,0.02012585035991499,False,0.3,False,0.12889662226531198,AdaBoost
6,6,19,0,6,94,0,14.0,False,False,0.02278415395850092,False,0.0,False,0.05139340991359876,AdaBoost
2,4,14,3,2,54,1,25.0,False,False,0.020842013601527376,False,0.0,False,0.017092314888372127,AdaBoost
2,5,4,3,1,8,0,3.0,False,False,0.021261521872762843,False,0.0,False,0.02420889940075076,AdaBoost
7,2,20,1,7,67,0,8.571428571,False,False,0.02162373132901716,False,0.0,False,0.15721557537672806,AdaBoost
2,3,6,2,2,26,0,11.5,False,False,0.018902004131414782,False,0.0,False,0.01643022838883209,AdaBoost
1,6,1,2,1,1,0,0.0,False,False,0.0212427416657463,False,0.0,False,0.06864349237602571,AdaBoost
8,11,32,0,7,149,0,17.25,False,False,0.03434886948250404,False,0.0,False,0.10000000000000002,AdaBoost
2,5,4,2,2,14,1,5.5,False,False,0.021894340974229338,False,0.0,False,2.2204460492503185e-16,AdaBoost
5,17,6,2,5,25,0,3.6,False,False,0.02244315409354154,False,0.0,False,0.10000000000000002,AdaBoost
3,6,5,3,1,18,1,4.666666667,False,False,0.02362425607697704,False,0.0,False,2.2204460492503185e-16,AdaBoost
5,13,31,11,4,140,1,26.6,False,False,0.032229369967302884,False,0.0,False,0.2,AdaBoost
15,17,69,0,7,583,0,37.8,False,False,0.422869497904274,False,0.3,False,0.4000000000000001,AdaBoost
9,22,117,21,3,1209,0,133.2222222,False,False,0.4470570894490275,False,0.2,False,0.29999999999999993,AdaBoost
77,50,243,49,49,2480,4,30.8961039,True,True,0.9699974931462192,False,0.4,True,0.7,AdaBoost
13,29,148,0,1,1407,0,107.0,True,True,0.9138824927072514,False,0.1,False,0.10000000000000002,Voting
11,12,52,0,5,360,1,31.36363636,True,False,0.06095095034797871,False,0.3,False,0.29999999999999993,AdaBoost
1,9,1,1,1,1,0,0.0,False,False,0.02238843329439207,False,0.0,False,2.2204460492503185e-16,AdaBoost
99,65,293,42,73,2894,9,28.05050505,True,True,0.9877632087096986,False,0.3,True,0.6000000000000001,AdaBoost
2,19,2,0,2,2,0,0.0,False,False,0.024830551066827092,False,0.0,False,2.2204460492503185e-16,AdaBoost
6,2,19,0,4,86,0,13.0,False,False,0.02653329944054688,False,0.1,False,0.10000000000000002,AdaBoost
10,5,21,1,9,84,1,7.3,False,False,0.02530683472439335,False,0.0,False,2.2204460492503185e-16,AdaBoost
13,11,50,0,10,267,0,19.15384615,False,False,0.047939112440744364,False,0.0,False,0.10000000000000002,AdaBoost
3,20,3,2,3,3,0,0.0,False,False,0.023943743715036856,False,0.0,False,2.2204460492503185e-16,AdaBoost
2,8,3,3,2,14,1,5.5,False,False,0.021761289596879046,False,0.0,False,2.2204460492503185e-16,AdaBoost
19,10,62,0,17,309,0,14.57894737,False,False,0.05137740268898838,False,0.1,False,0.10000000000000002,AdaBoost
3,5,10,3,2,39,2,11.33333333,False,False,0.0252205633056004,False,0.0,False,0.10000000000000002,AdaBoost
29,39,116,38,22,1109,5,36.86206897,True,True,0.7979088143648774,True,0.7,True,0.6000000000000001,AdaBoost
14,12,41,7,11,230,0,15.35714286,False,False,0.035415367157861664,False,0.1,False,0.2,AdaBoost
3,6,14,4,2,70,2,21.66666667,False,False,0.025644610051181373,False,0.0,False,2.2204460492503185e-16,AdaBoost
14,10,23,5,14,164,1,10.14285714,False,False,0.3554213744363665,False,0.1,False,0.10000000000000002,AdaBoost
4,7,5,0,4,32,0,6.0,False,False,0.02080296822289537,False,0.0,False,0.2,AdaBoost
4,2,8,0,4,21,0,4.0,False,False,0.021391919450458874,False,0.1,False,2.2204460492503185e-16,AdaBoost
3,3,5,2,3,12,0,3.0,False,False,0.02048261128737244,False,0.0,False,2.2204460492503185e-16,AdaBoost
3,5,3,1,3,3,0,0.0,False,False,0.020713539271212115,False,0.0,False,2.2204460492503185e-16,AdaBoost
2,4,4,2,2,10,0,4.0,False,False,0.02087504248989079,False,0.0,False,2.2204460492503185e-16,AdaBoost
3,11,22,11,3,101,0,32.66666667,False,False,0.02367974878301092,False,0.1,False,0.10000000000000002,AdaBoost
3,11,38,10,3,215,0,70.33333333,False,False,0.02677959142737378,False,0.2,False,0.2,AdaBoost
4,2,8,2,4,24,1,4.75,False,False,0.02168093691752585,False,0.1,False,2.2204460492503185e-16,AdaBoost
33,54,277,48,20,2591,4,77.36363636,True,True,0.9944280843813322,True,0.8,True,0.8,AdaBoost
2,3,5,2,1,15,0,6.0,False,False,0.021783108732467773,False,0.0,False,2.2204460492503185e-16,AdaBoost
1,5,1,1,1,1,0,0.0,False,False,0.02146361409646026,False,0.0,False,2.2204460492503185e-16,AdaBoost
22,20,143,20,5,1648,2,73.36363636,True,True,0.6118063043782671,False,0.3,False,0.33838513558958194,Voting
5,3,15,2,4,50,0,9.0,False,False,0.020927768835311552,False,0.1,False,0.08479027732454411,AdaBoost
3,9,3,5,3,3,0,0.0,False,False,0.017807956759882816,False,0.0,False,0.0005414913624636767,AdaBoost
4,10,10,8,4,27,0,5.75,False,False,0.01790551465749178,False,0.0,False,0.09929036845989736,AdaBoost
13,19,77,15,12,1090,1,82.76923077,False,False,0.3685355362010865,False,0.3,False,0.3324218666068248,AdaBoost
5,16,65,16,4,598,0,118.6,False,False,0.08130870755571927,False,0.1,False,0.3743814883423362,AdaBoost
10,6,30,4,0,290,1,27.5,False,False,0.024791890427021904,False,0.0,False,0.3365073295888786,AdaBoost
12,3,21,0,11,222,1,17.0,False,False,0.01964455011259684,False,0.1,False,0.10415622643920862,AdaBoost
11,11,44,3,8,279,0,23.63636364,True,False,0.03951231563669296,False,0.0,False,0.17736858333815184,AdaBoost
13,4,35,0,12,194,0,13.53846154,False,False,0.0274786316822799,False,0.0,False,0.07504824392867261,AdaBoost
4,24,104,22,3,763,2,189.25,False,False,0.36513546048477546,False,0.1,False,0.4312391929075994,AdaBoost
2,2,8,0,1,49,0,23.5,False,False,0.016091507559896388,False,0.0,False,0.02423933133399769,AdaBoost
11,7,20,0,10,132,0,10.63636364,False,False,0.3524826141161209,False,0.1,False,0.4108356312676783,AdaBoost
10,2,16,0,9,88,1,7.2,False,False,0.018976453536872412,False,0.0,False,0.0181256802807891,AdaBoost
37,16,108,0,29,1130,0,29.16216216,False,True,0.7991026625388141,True,0.7,True,0.5963955055539867,AdaBoost
9,7,28,5,8,124,2,12.44444444,False,False,0.03007517184698112,False,0.4,False,0.24846060220988175,AdaBoost
21,30,108,0,7,766,1,35.04761905,False,False,0.3060858845634304,False,0.2,False,0.24377587145908186,AdaBoost
74,84,163,46,70,1119,12,13.86486486,False,True,0.8141294112086203,True,0.7,False,0.4838845817135919,AdaBoost
7,12,24,0,6,122,0,15.85714286,False,False,0.028188296305174526,False,0.0,False,0.2268763316648923,AdaBoost
19,32,29,3,19,186,3,8.368421052999999,True,False,0.032969669679493635,False,0.1,False,0.08016017506644099,AdaBoost
2,12,2,1,2,2,0,0.0,False,False,0.021799460073257462,False,0.0,False,0.001339350264626383,AdaBoost
29,24,91,16,27,699,3,22.75862069,False,True,0.7491548586660315,False,0.2,True,0.6157612019870603,RandomForest
65,41,131,37,39,810,5,11.26153846,True,True,0.6961192888351797,True,0.9,True,0.5489101175964827,AdaBoost
6,5,15,4,6,53,0,7.833333333,False,False,0.01929818813504738,False,0.0,False,0.0870928451290796,AdaBoost
4,5,9,1,4,34,1,7.0,False,False,0.0221639394366898,False,0.0,False,0.114953769483999,AdaBoost
3,10,5,3,1,18,1,4.666666667,False,False,0.021205438158339085,False,0.0,False,0.00756863848153685,AdaBoost
21,4,54,0,19,233,1,9.80952381,False,False,0.03638855532852527,False,0.1,False,0.028164818667533443,AdaBoost
1,10,1,2,1,1,0,0.0,False,False,0.02148515781536696,False,0.0,False,0.000938879445910385,AdaBoost
55,31,123,15,41,1167,6,19.94545455,True,False,0.4470615928473308,True,0.6,True,0.7193703699115893,AdaBoost
7,9,8,4,7,30,1,3.0,False,False,0.01754899349024844,False,0.0,False,0.008395328328461956,AdaBoost
3,15,3,1,3,3,0,0.0,False,False,0.021725825906407856,False,0.0,False,0.005408468854684263,AdaBoost
8,18,17,1,8,141,1,16.125,False,False,0.02465942619904412,False,0.1,False,0.03640882364627943,AdaBoost
10,15,10,3,10,10,0,0.0,False,False,0.3486045040215127,False,0.1,False,0.1473217562751542,AdaBoost
45,13,113,0,45,636,0,12.66666667,False,False,0.4028224090327517,False,0.2,False,0.1713783111445741,AdaBoost
7,10,44,7,4,348,0,48.42857143,True,False,0.031860833603357404,False,0.5,True,0.6410239310037676,AdaBoost
